index,Target,Metal Tag,Atom,Metal Tag Full,full,ilastik,cell_type,Antibody Clone,Final Concentration,full name,function,cellular location,cell type
80ArAr(ArAr80),80ArAr,ArAr80,80,,0,0,0,,,,,,
HistoneH3(In113),HistoneH3,In113,113,,1,1,0,,,,,,
CD45(In115),CD45,In115,115,,1,0,1,,,,,,
129Xe(Xe129),129Xe,Xe129,129,,0,0,0,,,,,,
AlphaSMA(Pr141),AlphaSMA,Pr141,141,,1,0,1,,,,,,
iNOS(Nd142),iNOS,Nd142,142,,1,0,0,,,,,,
cKIT(Nd143),cKIT,Nd143,143,,1,0,1,,,,,,
CD206(Nd144),CD206,Nd144,144,,1,0,1,,,,,,
TTF1(Nd145),TTF1,Nd145,145,,1,0,1,,,,,,
CD16(Nd146),CD16,Nd146,146,,1,0,1,,,,,,
CD163(Sm147),CD163,Sm147,147,,1,0,1,,,,,,
CD14(Nd148),CD14,Nd148,148,,1,0,1,,,,,,
CD11b(Sm149),CD11b,Sm149,149,,1,0,1,,,,,,
CD68(Nd150),CD68,Nd150,150,,1,0,1,,,,,,
CD31(Eu151),CD31,Eu151,151,,1,0,1,,,,,,
<EMPTY>(Sm152),,Sm152,152,,0,0,0,,,,,,
SARSCoV2S1(Eu153),SARSCoV2S1,Eu153,153,,1,0,0,,,,,,
Vimentin(Sm154),Vimentin,Sm154,154,,1,1,1,,,,,,
C5bC9(Gd155),C5bC9,Gd155,155,,1,0,1,,,,,,
CD4(Gd156),CD4,Gd156,156,,1,0,1,,,,,,
pSTAT3(Gd158),pSTAT3,Gd158,158,,1,0,0,,,,,,
CD56(Tb159),CD56,Tb159,159,,1,0,1,,,,,,
IL6(Gd160),IL6,Gd160,160,,1,0,0,,,,,,
CD20(Dy161),CD20,Dy161,161,,1,0,1,,,,,,
CD8a(Dy162),CD8a,Dy162,162,,1,0,1,,,,,,
CD15(Dy163),CD15,Dy163,163,,1,0,1,,,,,,
Arginase1(Dy164),Arginase1,Dy164,164,,1,0,0,,,,,,
pCREB(Ho165),pCREB,Ho165,165,,1,0,0,,,,,,
IL1beta(Er166),IL1beta,Er166,166,,1,0,0,,,,,,
CD123(Er167),CD123,Er167,167,,1,0,1,,,,,,
Ki67(Er168),Ki67,Er168,168,,1,0,0,,,,,,
CollagenTypeI(Tm169),CollagenTypeI,Tm169,169,,1,1,0,,,,,,
CD3(Er170),CD3,Er170,170,,1,0,1,,,,,,
CD57(Yb171),CD57,Yb171,171,,1,0,1,,,,,,
CleavedCaspase3(Yb172),CleavedCaspase3,Yb172,172,,1,0,0,,,,,,
MPO(Yb173),MPO,Yb173,173,,1,0,1,,,,,,
Keratin818(Yb174),Keratin818,Yb174,174,,1,1,1,,,,,,
MastCellTryptase(Lu175),MastCellTryptase,Lu175,175,,1,0,1,,,,,,
CD11c(Yb176),CD11c,Yb176,176,,1,0,1,,,,,,
190BCKG(BCKG190),190BCKG,BCKG190,190,,0,0,0,,,,,,
DNA1(Ir191),DNA1,Ir191,191,,1,1,0,,,,,,
DNA2(Ir193),DNA2,Ir193,193,,1,1,0,,,,,,
<EMPTY>(Pb204),,Pb204,204,,0,0,0,,,,,,
